Drug	Sample	Efficacy	Measurement	Value
Purvalanol B	HFF	NA	LAC50	-4.9292094394
SCH-79797	HFF	NA	LAC50	-4.7292094394
SB-431542	HFF	NA	LAC50	NA
Alprostadil	HFF	NA	LAC50	-6.2292094394
Streptozocin	HFF	NA	LAC50	NA
Ginkgolide B	HFF	NA	LAC50	-7.9292094394
Deguelin	HFF	NA	LAC50	-7.5292094394
Gabexate mesilate	HFF	NA	LAC50	NA
2-Methoxyestradiol	HFF	NA	LAC50	-4.7292094394
Ubenimex	HFF	NA	LAC50	NA
Vapiprost hydrochloride	HFF	NA	LAC50	-5.3292094394
SB-239063	HFF	NA	LAC50	NA
SB-408124	HFF	NA	LAC50	NA
Isradipine	HFF	NA	LAC50	-5.3292094394
Mirtazapine	HFF	NA	LAC50	NA
Paroxetine	HFF	NA	LAC50	-4.8292094394
Nicorandil	HFF	NA	LAC50	-6.8292094394
SR 33805	HFF	NA	LAC50	NA
NCGC00037850	HFF	NA	LAC50	NA
Nevirapine	HFF	NA	LAC50	-8.2792094394
Oxcarbazepine	HFF	NA	LAC50	NA
Gatifloxacin	HFF	NA	LAC50	NA
Imiquimod	HFF	NA	LAC50	-4.7792094394
KL001	HFF	NA	LAC50	-5.6792094394
SID 7969543	HFF	NA	LAC50	NA
Droxinostat	HFF	NA	LAC50	NA
Isoliquiritigenin	HFF	NA	LAC50	-5.5292094394
Nitrofurazone	HFF	NA	LAC50	NA
Didanosine	HFF	NA	LAC50	-7.6292094394
Zalcitabine	HFF	NA	LAC50	-7.5292094394
Ribavirin	HFF	NA	LAC50	NA
Diethylstilbestrol	HFF	NA	LAC50	-4.9292094394
Fenretinide	HFF	NA	LAC50	-4.9179734446
Azithromycin (AZ)	HFF	NA	LAC50	-6.3792094394
Melphalan	HFF	NA	LAC50	-7.1292094394
Cisplatin	HFF	NA	LAC50	NA
Rifabutin	HFF	NA	LAC50	-4.7292094394
Prednisone???	HFF	NA	LAC50	NA
Nitazoxanide	HFF	NA	LAC50	-6.0179734446
Viracept	HFF	NA	LAC50	-4.6792094394
Digoxin	HFF	NA	LAC50	-6.4179734446
Amphotericin B	HFF	NA	LAC50	-6.5792094394
5-Azacitidine	HFF	NA	LAC50	-4.7292094394
Sulfasalazine	HFF	NA	LAC50	NA
Busulfan	HFF	NA	LAC50	-4.9292094394
Methyltestosterone	HFF	NA	LAC50	-5.5179734446
Chloramphenicol	HFF	NA	LAC50	NA
Hydroxyflutamide	HFF	NA	LAC50	NA
Dexamethasone	HFF	NA	LAC50	-7.7292094394
Cyproterone acetate	HFF	NA	LAC50	-5.8792094394
Silybin	HFF	NA	LAC50	-5.5792094394
5-Hydroxytryptophan	HFF	NA	LAC50	NA
Aspartame	HFF	NA	LAC50	NA
Neohesperidin dihydrochalcone	HFF	NA	LAC50	NA
Methylrosaniline chloride	HFF	NA	LAC50	-4.8792094394
Asaraldehyde	HFF	NA	LAC50	NA
Oxytetracycline	HFF	NA	LAC50	-6.1292094394
Daminozide	HFF	NA	LAC50	NA
Celecoxib	HFF	NA	LAC50	NA
Ethinylestradiol	HFF	NA	LAC50	-4.9792094394
Estradiol	HFF	NA	LAC50	-5.7292094394
Octocrylene	HFF	NA	LAC50	NA
Chrysophanol	HFF	NA	LAC50	NA
Chlormethine	HFF	NA	LAC50	NA
Dacarbazine	HFF	NA	LAC50	NA
Y-27632	HFF	NA	LAC50	-7.3792094394
AHPN	HFF	NA	LAC50	-6.8292094394
(-)-Blebbistatin	HFF	NA	LAC50	-6.2792094394
DA-3003-1	HFF	NA	LAC50	-4.4792094394
SL-327	HFF	NA	LAC50	-4.7792094394
Amisulpride	HFF	NA	LAC50	NA
Triciribine	HFF	NA	LAC50	-5.7292094394
NSC 23766	HFF	NA	LAC50	-4.7292094394
Eliprodil	HFF	NA	LAC50	NA
GW-0742	HFF	NA	LAC50	NA
Sibutramine hydrochloride	HFF	NA	LAC50	NA
Cordycepin	HFF	NA	LAC50	-5.8292094394
Prostaglandin E2	HFF	NA	LAC50	-5.4292094394
PNU-282987	HFF	NA	LAC50	NA
Necrostatin-1	HFF	NA	LAC50	-6.0792094394
JNJ-16259685	HFF	NA	LAC50	NA
ABT-702	HFF	NA	LAC50	-5.4292094394
Fenobam	HFF	NA	LAC50	-5.2792094394
LY-320135	HFF	NA	LAC50	-6.4292094394
Mestranol	HFF	NA	LAC50	NA
Niacinamide	HFF	NA	LAC50	-5.7792094394
Cytarabine	HFF	NA	LAC50	NA
Finasteride	HFF	NA	LAC50	NA
Brivudine	HFF	NA	LAC50	NA
Cyclosporine A	HFF	NA	LAC50	NA
Cephalexin	HFF	NA	LAC50	-7.5792094394
Dehydroepiandrosterone	HFF	NA	LAC50	-5.2292094394
Doxifluridine	HFF	NA	LAC50	-4.8292094394
Idarubicin hydrochloride	HFF	NA	LAC50	-5.6292094394
Metolazone	HFF	NA	LAC50	NA
Mizoribine	HFF	NA	LAC50	NA
BIO	HFF	NA	LAC50	-5.3792094394
Masoprocol	HFF	NA	LAC50	-4.6792094394
Piceatannol	HFF	NA	LAC50	-4.7792094394
Isotretinoin	HFF	NA	LAC50	NA
Seliciclib	HFF	NA	LAC50	-5.4792094394
TPCK	HFF	NA	LAC50	NA
Pyrantel pamoate	HFF	NA	LAC50	-6.7292094394
Crotamiton	HFF	NA	LAC50	-5.8792094394
Tolterodine tartrate	HFF	NA	LAC50	-4.9792094394
Allopurinol	HFF	NA	LAC50	NA
6-mercaptopurine	HFF	NA	LAC50	-5.0792094394
Polymyxin B sulphate	HFF	NA	LAC50	-8.5292094394
Tioguanine	HFF	NA	LAC50	-4.7292094394
Warfarin sodium	HFF	NA	LAC50	NA
Hexestrol	HFF	NA	LAC50	NA
Piperine	HFF	NA	LAC50	NA
Fumalic acid	HFF	NA	LAC50	-5.0792094394
Flunisolide	HFF	NA	LAC50	NA
Mefloquine	HFF	NA	LAC50	NA
Tioxolone	HFF	NA	LAC50	NA
Ethisterone	HFF	NA	LAC50	-6.0792094394
ThioTEPA	HFF	NA	LAC50	NA
Salinomycin	HFF	NA	LAC50	-5.4792094394
Fluconazole	HFF	NA	LAC50	-5.3792094394
Sildenafil citrate	HFF	NA	LAC50	-5.1292094394
Gliclazide	HFF	NA	LAC50	NA
Venlafaxine hydrochloride	HFF	NA	LAC50	NA
Avobenzone	HFF	NA	LAC50	-8.5792094394
Rofecoxib	HFF	NA	LAC50	NA
Rosiglitazone	HFF	NA	LAC50	NA
Orlistat	HFF	NA	LAC50	-7.8792094394
Famciclovir	HFF	NA	LAC50	NA
Ezetimibe	HFF	NA	LAC50	NA
Almotriptan	HFF	NA	LAC50	NA
Cantharidin	HFF	NA	LAC50	-4.8292094394
Telmisartan	HFF	NA	LAC50	NA
Alfuzosin hydrochloride	HFF	NA	LAC50	NA
Oxfendazole	HFF	NA	LAC50	-8.0292094394
Secnidazole	HFF	NA	LAC50	NA
Rebamipide	HFF	NA	LAC50	-6.3792094394
Protionamide	HFF	NA	LAC50	NA
Carmofur	HFF	NA	LAC50	-4.5792094394
Pantoprazole	HFF	NA	LAC50	NA
Tegaserod maleate	HFF	NA	LAC50	-4.7792094394
Testosterone propionate	HFF	NA	LAC50	-5.9792094394
Chloroxine	HFF	NA	LAC50	-4.8792094394
Coenzyme Q10	HFF	NA	LAC50	NA
Diindolylmethane	HFF	NA	LAC50	-6.6292094394
Hematoxylin	HFF	NA	LAC50	NA
Ergosterol	HFF	NA	LAC50	NA
Ribitol	HFF	NA	LAC50	-5.3792094394
Andrographolide	HFF	NA	LAC50	-5.9679734446
Osthol	HFF	NA	LAC50	-4.7292094394
Solanesol	HFF	NA	LAC50	NA
Tanshinone IIA	HFF	NA	LAC50	NA
Sumatriptan succinate	HFF	NA	LAC50	-7.5292094394
Rizatriptan benzoate	HFF	NA	LAC50	NA
Paeonol	HFF	NA	LAC50	NA
10-hydroxycamptothecin	HFF	NA	LAC50	-5.1792094394
Parietin	HFF	NA	LAC50	-5.8904146614
Olanzapine	HFF	NA	LAC50	NA
beta-Carotene	HFF	NA	LAC50	NA
8-Cl-Ado	HFF	NA	LAC50	-4.7292094394
Chenodeoxycholic acid	HFF	NA	LAC50	NA
Phlorizin	HFF	NA	LAC50	-5.9292094394
Cytidine	HFF	NA	LAC50	-5.1292094394
beta-Sitosterol	HFF	NA	LAC50	NA
Stigmasterol	HFF	NA	LAC50	-5.4904146614
Salicin	HFF	NA	LAC50	NA
Epinephrine	HFF	NA	LAC50	-5.8179734446
Lactulose	HFF	NA	LAC50	-5.6292094394
Lincomycin  hydrochloride	HFF	NA	LAC50	-5.9792094394
Sulbactam	HFF	NA	LAC50	NA
Efavirenz	HFF	NA	LAC50	NA
Lamivudine	HFF	NA	LAC50	NA
Terbinafine hydrochloride	HFF	NA	LAC50	NA
Levonorgestrel	HFF	NA	LAC50	-5.9292094394
Nandrolone phenylpropionate	HFF	NA	LAC50	-6.9792094394
Betamethasone dipropionate	HFF	NA	LAC50	-8.3292094394
Docosanol	HFF	NA	LAC50	-6.3792094394
Noradrenaline bitartrate monohydrate	HFF	NA	LAC50	-6.3292094394
Tegafur	HFF	NA	LAC50	-5.8679734446
Tiopronin	HFF	NA	LAC50	-5.7292094394
L-selenomethionine	HFF	NA	LAC50	-5.3179734446
Zileuton	HFF	NA	LAC50	-5.8292094394
Gefitinib	HFF	NA	LAC50	-4.4179734446
Imatinib	HFF	++	LAC50	-6.9792094394
Mycophenolate mofetil	HFF	NA	LAC50	-4.7292094394
Indinavir	HFF	NA	LAC50	-5.6792094394
Amprenavir	HFF	NA	LAC50	-5.9292094394
Hydroxychloroquine sulfate	HFF	NA	LAC50	NA
Chloramphenicol Palmitate	HFF	NA	LAC50	NA
Rimantadine	HFF	NA	LAC50	NA
Rose Bengal disodium	HFF	NA	LAC50	-4.8292094394
Perindopril	HFF	NA	LAC50	-4.7292094394
Aripiprazole	HFF	NA	LAC50	NA
Cefprozil	HFF	NA	LAC50	-4.5792094394
Zopiclone	HFF	NA	LAC50	NA
Rabeprazole	HFF	NA	LAC50	NA
Zoledronic acid monohydrate	HFF	NA	LAC50	NA
S-Trityl-L-cysteine	HFF	NA	LAC50	-5.5292094394
Zaldaride maleate	HFF	NA	LAC50	-5.0292094394
Eplerenone	HFF	NA	LAC50	NA
RITA	HFF	NA	LAC50	-5.1792094394
ZM 44739	HFF	NA	LAC50	NA
Hordenine	HFF	NA	LAC50	-5.2792094394
Diosgenin	HFF	NA	LAC50	NA
(+)-Usniacin	HFF	NA	LAC50	NA
Sophocarpine	HFF	NA	LAC50	NA
Resistomycin	HFF	NA	LAC50	-4.6292094394
Auranofin	HFF	NA	LAC50	-4.3792094394
Auranofin	alt	NA	LAC50	-4.4292094394
Pravadoline	HFF	NA	LAC50	NA
Irsogladine maleate	HFF	NA	LAC50	-5.5792094394
Nafamostat mesilate	HFF	NA	LAC50	-5.7292094394
Tetrabenazine	HFF	NA	LAC50	NA
Indibulin	HFF	NA	LAC50	-5.6292094394
Idebenone	HFF	NA	LAC50	NA
Acarbose	HFF	NA	LAC50	NA
Acipimox	HFF	NA	LAC50	NA
Mosapride citrate	HFF	NA	LAC50	-7.4792094394
Tizanidine hydrochloride	HFF	NA	LAC50	-5.6292094394
Toremifene	HFF	NA	LAC50	NA
Atorvastatin calcium	HFF	NA	LAC50	-4.7292094394
Mecarbinate	HFF	NA	LAC50	NA
16,16-dimethyl PGE2	HFF	NA	LAC50	-4.5292094394
Calcitriol	HFF	NA	LAC50	-5.3792094394
GW-441756	HFF	NA	LAC50	-4.7792094394
anagrelide	HFF	NA	LAC50	-4.8792094394
CCT-018159	HFF	NA	LAC50	-4.5292094394
Tropisetron	HFF	NA	LAC50	-4.6292094394
JTC-801	HFF	NA	LAC50	-4.4292094394
Trimetrexate	HFF	NA	LAC50	NA
Troglitazone	HFF	NA	LAC50	NA
Doxycycline	HFF	NA	LAC50	NA
Novobiocin sodium	HFF	NA	LAC50	NA
Artemisinin	HFF	NA	LAC50	-6.1292094394
Sinomenine	HFF	NA	LAC50	NA
Pepstatin	HFF	NA	LAC50	NA
MG-132	HFF	NA	LAC50	-5.0792094394
NCGC00161703	HFF	NA	LAC50	-6.2792094394
GSK-3965	HFF	NA	LAC50	-5.2792094394
Budesonide	HFF	NA	LAC50	-6.4292094394
Picropodophyllin	alt	NA	LAC50	NA
4-Demethylepipodophyllotoxin	HFF	NA	LAC50	-6.9792094394
H-89	HFF	NA	LAC50	-6.7792094394
Betamethasone	HFF	NA	LAC50	NA
SD-169	HFF	NA	LAC50	-6.5792094394
L-tetramisol	HFF	NA	LAC50	-4.9292094394
MK-886	HFF	NA	LAC50	-5.6292094394
Valproic acid sodium salt	HFF	NA	LAC50	NA
Thapsigargin	HFF	NA	LAC50	-6.1292094394
Vancomycin hydrochloride	HFF	NA	LAC50	NA
Olprinone	HFF	NA	LAC50	NA
Bafilomycin A1	HFF	NA	LAC50	-6.7292094394
Mithramycin	HFF	NA	LAC50	-4.9792094394
Elactocin	HFF	NA	LAC50	-6.9570452782
Trichostatin A	HFF	NA	LAC50	-4.7292094394
CITCO	HFF	NA	LAC50	NA
Pregnenolone	HFF	NA	LAC50	-5.3292094394
Acitretin	HFF	NA	LAC50	-5.9292094394
Pioglitazone HCl	HFF	NA	LAC50	NA
Niguldipine	HFF	NA	LAC50	NA
Pizotifen	HFF	NA	LAC50	NA
Huperizine A	HFF	NA	LAC50	NA
Suramin sodium	HFF	NA	LAC50	-5.6792094394
Clopidogrel bisulfate	HFF	NA	LAC50	NA
KN-62	HFF	NA	LAC50	-4.7792094394
Betulinic acid	HFF	NA	LAC50	-5.1292094394
Triptolide	HFF	NA	LAC50	NA
Parthenolide	HFF	NA	LAC50	NA
Tanespimycin	HFF	NA	LAC50	-6.0792094394
CA-074 Me	HFF	NA	LAC50	NA
G?-6976	HFF	NA	LAC50	-4.7792094394
Mitomycin	HFF	NA	LAC50	-4.4792094394
FK-506	HFF	NA	LAC50	-5.0792094394
Cyclopamine	HFF	NA	LAC50	-5.6292094394
Wortmannin	HFF	NA	LAC50	NA
Shikonin	HFF	NA	LAC50	NA
Cerulenin	HFF	NA	LAC50	NA
G?-6983	HFF	NA	LAC50	-5.2292094394
Octylonium bromide	HFF	NA	LAC50	NA
Aloe-emodin	HFF	NA	LAC50	-6.3292094394
Daidzin	HFF	NA	LAC50	NA
Hesperetin	HFF	NA	LAC50	-4.6792094394
Ecdysone	HFF	NA	LAC50	-5.1792094394
Echinomycin	HFF	NA	LAC50	-7.9292094394
Evodiamine	HFF	NA	LAC50	-5.4792094394
Honokiol	HFF	NA	LAC50	-4.9792094394
Sclareolide	HFF	NA	LAC50	-4.7292094394
Tetrahydropapaverine	HFF	NA	LAC50	NA
Cryptotanshinone	HFF	NA	LAC50	NA
Metenkephalin	HFF	NA	LAC50	-6.3792094394
Vincristine sulfate	HFF	NA	LAC50	-7.5792094394
3-indolebutyric acid	HFF	NA	LAC50	NA
L-Thyroxine	HFF	NA	LAC50	-5.0792094394
Mannitol	HFF	NA	LAC50	-8.6792094394
Formestane	HFF	NA	LAC50	-8.3792094394
Clomifene citrate	HFF	NA	LAC50	NA
Ciprofibrate	HFF	NA	LAC50	NA
Zafirlukast	HFF	NA	LAC50	NA
Dofetilide	HFF	NA	LAC50	NA
Lafutidine	HFF	NA	LAC50	-4.4292094394
Clofarabine	HFF	NA	LAC50	-5.8792094394
Duloxetine hydrochloride	HFF	NA	LAC50	-5.0292094394
Zanamivir	HFF	NA	LAC50	NA
Pitavastatin calcium	HFF	NA	LAC50	-5.2792094394
Capecitabine	HFF	NA	LAC50	-7.0792094394
Rimonabant	HFF	NA	LAC50	-5.8292094394
Erlotinib hydrochloride	HFF	NA	LAC50	-4.6792094394
Lopinavir	HFF	NA	LAC50	-5.4292094394
Malotilate	HFF	NA	LAC50	-4.6792094394
Drospirenone	HFF	NA	LAC50	NA
Artemether	HFF	NA	LAC50	NA
Loteprednol etabonate	HFF	NA	LAC50	NA
Artesunate (AS)	HFF	NA	LAC50	-5.0292094394
Liranaftate	HFF	NA	LAC50	NA
Fluvastatin	HFF	NA	LAC50	-4.9292094394
Epalrestat	HFF	NA	LAC50	-4.8792094394
Prulifloxacin	HFF	NA	LAC50	-8.6792094394
Adapalene	HFF	NA	LAC50	-5.8792094394
Anastrozole	HFF	NA	LAC50	-6.4292094394
Voriconazole	HFF	NA	LAC50	-6.5792094394
Adefovir dipivoxil	HFF	NA	LAC50	NA
Alibendol	HFF	NA	LAC50	NA
Sunitinib malate	HFF	NA	LAC50	-4.3179734446
Balsalazide disodium	HFF	NA	LAC50	-5.8792094394
Nifekalant	HFF	NA	LAC50	NA
Fulvestrant	HFF	NA	LAC50	-6.0292094394
A 83-01	HFF	NA	LAC50	-8.0292094394
Plerixafor hydrochloride	HFF	NA	LAC50	-7.7792094394
AKT inhibitor VIII	HFF	NA	LAC50	NA
Acadesine	HFF	NA	LAC50	NA
Benzapril	HFF	NA	LAC50	-5.5292094394
BMS-345541	HFF	NA	LAC50	-4.5292094394
339253	HFF	NA	LAC50	-5.3292094394
Cardiogenol	HFF	NA	LAC50	-7.0792094394
C-75	HFF	NA	LAC50	-5.3792094394
GW 4869	HFF	NA	LAC50	-4.7292094394
Vadimezan	HFF	NA	LAC50	-5.5292094394
GW-6471	HFF	NA	LAC50	NA
IMD-0354	HFF	NA	LAC50	-6.1292094394
NSC-724771	HFF	NA	LAC50	-7.8292094394
KI-16425	HFF	NA	LAC50	-5.7792094394
Entinostat	HFF	NA	LAC50	-5.0292094394
NU-6027	HFF	NA	LAC50	-4.6792094394
PD-173074	HFF	NA	LAC50	-6.0292094394
Dorsomorphin	HFF	NA	LAC50	-4.7292094394
PS-1145	HFF	NA	LAC50	-5.3792094394
PB-28	HFF	NA	LAC50	-6.8292094394
Reversine	HFF	NA	LAC50	-4.7292094394
SB-505124	HFF	NA	LAC50	NA
SD-208	HFF	NA	LAC50	-5.5292094394
SU-MI-2	HFF	NA	LAC50	-4.7792094394
TRAM-34	HFF	NA	LAC50	-5.5292094394
KDS-4103	HFF	NA	LAC50	-6.1792094394
Vinorelbine	HFF	NA	LAC50	-6.1792094394
Demecolcine	HFF	NA	LAC50	-4.4792094394
Arbutin	HFF	NA	LAC50	NA
Decitabine	HFF	NA	LAC50	NA
Estriol	HFF	NA	LAC50	-4.7292094394
Meglumine	HFF	NA	LAC50	-6.0792094394
Quinine	HFF	NA	LAC50	NA
Sparfloxacin	HFF	NA	LAC50	NA
Marbofloxacin	HFF	NA	LAC50	-8.9292094394
Trifluridine	HFF	NA	LAC50	NA
Argatroban	HFF	NA	LAC50	NA
Aloxistatin	HFF	NA	LAC50	NA
Pluripotin	HFF	NA	LAC50	-5.9292094394
Temozolomide	HFF	NA	LAC50	NA
Tioconazole	HFF	NA	LAC50	NA
Rifapentine	HFF	NA	LAC50	-5.5792094394
Rocuronium bromide	HFF	NA	LAC50	-5.2792094394
Trospium chloride	HFF	NA	LAC50	NA
Pramipexole hydrochloride	HFF	NA	LAC50	-4.4292094394
Clinofibrate	HFF	NA	LAC50	NA
Lomustine	HFF	NA	LAC50	-8.5792094394
Vecuronium bromide	HFF	NA	LAC50	-6.4292094394
Amlexanox	HFF	NA	LAC50	-7.8292094394
Doripenem	HFF	NA	LAC50	-5.2792094394
(R)-Bicalutamide	HFF	NA	LAC50	-4.6292094394
Sorafenib	HFF	+	LAC50	-5.8792094394
Lumefantrine	HFF	NA	LAC50	NA
Lenalidomide	HFF	NA	LAC50	-7.8179734446
Manidipine	HFF	NA	LAC50	-6.3292094394
Methylene blue	HFF	NA	LAC50	-5.0792094394
Aclarubicin	HFF	NA	LAC50	-7.0792094394
Pimecrolimus	HFF	NA	LAC50	NA
Lapatinib	HFF	NA	LAC50	-5.0792094394
Vandetanib	HFF	NA	LAC50	-4.7792094394
Temsirolimus	HFF	NA	LAC50	NA
Ramatroban	HFF	NA	LAC50	NA
Cilomilast	HFF	NA	LAC50	-5.8292094394
Amorolfine hydrochloride	HFF	NA	LAC50	NA
Tazarotene	HFF	NA	LAC50	-7.5292094394
Camostat mesylate	HFF	NA	LAC50	NA
Rivastigmine tartrate	HFF	NA	LAC50	NA
Balofloxacin	HFF	NA	LAC50	-4.5792094394
Vardenafil	HFF	NA	LAC50	-4.7792094394
Tenofovir	HFF	NA	LAC50	-7.8292094394
Fleroxacin	HFF	NA	LAC50	NA
Carbazochrome sodium sulfonate	HFF	NA	LAC50	NA
GW-4064X	HFF	NA	LAC50	-6.4792094394
Costunolide	HFF	NA	LAC50	-5.5292094394
PNU-120596	HFF	NA	LAC50	-6.3792094394
SSR-69071	HFF	NA	LAC50	NA
IKK16	HFF	NA	LAC50	-4.6292094394
KI-8751	HFF	NA	LAC50	-7.6792094394
TPCA-1	HFF	NA	LAC50	-5.2792094394
Cetirizine hydrochloride	HFF	NA	LAC50	-6.0792094394
PAC-1	HFF	NA	LAC50	-4.7292094394
Oxaliplatin	HFF	NA	LAC50	NA
CL 82198	HFF	NA	LAC50	NA
GSI-9	HFF	NA	LAC50	-5.5292094394
Ivachtin	HFF	NA	LAC50	-5.6292094394
GW-9508	HFF	NA	LAC50	NA
SN-38	HFF	NA	LAC50	-4.4792094394
Carvedilol	HFF	NA	LAC50	-5.3792094394
Telithromycin	HFF	NA	LAC50	-6.1792094394
Tiotropium bromide	HFF	NA	LAC50	NA
Bicalutamide	HFF	NA	LAC50	-4.4292094394
Ceftiofur hydrochloride	HFF	NA	LAC50	-8.7792094394
Pirarubicin	HFF	NA	LAC50	-4.5792094394
Dextromethorphan hydrobromide	HFF	NA	LAC50	NA
Vorinostat	HFF	NA	LAC50	-4.6792094394
AG-14361	HFF	NA	LAC50	-5.5792094394
Secin H3	HFF	NA	LAC50	NA
Tozasertib	HFF	NA	LAC50	-4.7292094394
IC-87114	HFF	NA	LAC50	-5.1792094394
NCGC00168459-01	HFF	NA	LAC50	-4.7792094394
PTC-124	HFF	NA	LAC50	NA
Darunavir	HFF	NA	LAC50	-6.0792094394
Rasagiline mesilate	HFF	NA	LAC50	-5.7292094394
Tadalafil	HFF	NA	LAC50	-5.3792094394
Gemcitabine	HFF	NA	LAC50	-4.8292094394
Diclazuril	HFF	NA	LAC50	-4.9292094394
Lupeol	HFF	NA	LAC50	NA
Salidroside	HFF	NA	LAC50	-6.3792094394
Sesamin	HFF	NA	LAC50	NA
Tetrahydroberberine Canadine	HFF	NA	LAC50	NA
Uridine triacetate	HFF	NA	LAC50	-7.2792094394
Azelastine hydrochloride	HFF	NA	LAC50	-4.6792094394
Pefloxacin	HFF	NA	LAC50	NA
Sarafloxacin hydrochloride	HFF	NA	LAC50	-5.1292094394
Clarithromycin	HFF	NA	LAC50	-5.4292094394
Ramipril	HFF	NA	LAC50	NA
Thiamphenicol	HFF	NA	LAC50	-5.6792094394
Limonin	HFF	NA	LAC50	-7.5292094394
Cefdinir	HFF	NA	LAC50	NA
Bromhexine hydrochloride	HFF	NA	LAC50	-6.4292094394
Levofloxacin	HFF	NA	LAC50	-7.8292094394
Valaciclovir	HFF	NA	LAC50	-7.0292094394
Irinotecan	HFF	NA	LAC50	-4.7292094394
Oseltamivir phosphate	HFF	NA	LAC50	NA
Ramelteon	HFF	NA	LAC50	-5.4292094394
Sitagliptin	HFF	NA	LAC50	-6.2792094394
Sodium cloxacillin	HFF	NA	LAC50	-5.8792094394
Tobramycin	HFF	NA	LAC50	NA
Tripterin	HFF	NA	LAC50	-5.0792094394
Pentamidine isethionate	HFF	NA	LAC50	-6.4792094394
Dorzolamide hydrochloride	HFF	NA	LAC50	-5.5792094394
Halofantrine	HFF	NA	LAC50	-5.0792094394
Indirubin	HFF	NA	LAC50	-4.6792094394
Fluticasone propionate	HFF	NA	LAC50	NA
Ondansetron hydrochloride	HFF	NA	LAC50	NA
Ursodiol	HFF	NA	LAC50	-4.6792094394
Ifomide	HFF	NA	LAC50	-5.5292094394
Monensin sodium salt	HFF	NA	LAC50	-5.8904146614
Aurantiamarin	HFF	NA	LAC50	NA
Aurantiamarin	alt	NA	LAC50	NA
Etoposide	HFF	NA	LAC50	NA
Racecadotril	HFF	NA	LAC50	NA
Mometasone furoate	HFF	NA	LAC50	NA
Butoconazole nitrate	HFF	NA	LAC50	NA
Isoconazole nitrate	HFF	NA	LAC50	-5.9292094394
Prednisolone	HFF	NA	LAC50	NA
Idoxuridine	HFF	NA	LAC50	NA
Suplatast tosilate	HFF	NA	LAC50	NA
Cinacalcet	HFF	NA	LAC50	NA
Gimeracil	HFF	NA	LAC50	NA
Mizolastine	HFF	NA	LAC50	NA
Bexarotene	HFF	NA	LAC50	NA
Taltirelin	HFF	NA	LAC50	NA
Nelarabine	HFF	NA	LAC50	-5.5792094394
Tamibarotene	HFF	NA	LAC50	-6.3292094394
Dasatinib	HFF	NA	LAC50	-8.2292094394
Epothilone B	HFF	NA	LAC50	-5.5292094394
Nedaplatin	HFF	NA	LAC50	NA
Mesna	HFF	NA	LAC50	NA
Bendamustine	HFF	NA	LAC50	-6.3792094394
Seratrodast	HFF	NA	LAC50	NA
Neomycin sulfate	HFF	NA	LAC50	-4.5792094394
Imexon	HFF	NA	LAC50	-8.7792094394
Docetaxel	HFF	NA	LAC50	NA
2-Fluoroadenosine	HFF	NA	LAC50	-5.7292094394
Ivabradine hydrochloride	HFF	NA	LAC50	NA
Temocapril hydrochloride	HFF	NA	LAC50	-4.7792094394
Ranelic acid distrontium salt	HFF	NA	LAC50	NA
Vatalanib	HFF	NA	LAC50	-5.2292094394
Deferasirox	HFF	NA	LAC50	NA
Pranlukast hydrate	HFF	NA	LAC50	-8.9792094394
Tolcapone	HFF	NA	LAC50	-6.9292094394
Ibutilide fumarate	HFF	NA	LAC50	-8.4292094394
Aprepitant	HFF	NA	LAC50	-4.7292094394
Naratriptan hydrochloride	HFF	NA	LAC50	NA
Octreotide	HFF	NA	LAC50	NA
Alacepril	HFF	NA	LAC50	NA
Pentostatin	HFF	NA	LAC50	-4.6292094394
Fludarabine phosphate	HFF	NA	LAC50	-7.6292094394
R406	HFF	NA	LAC50	NA
SRT1720	HFF	NA	LAC50	-5.7292094394
Bazedoxifene	HFF	NA	LAC50	NA
Doxercalciferol	HFF	NA	LAC50	-5.0292094394
Febuxostat	HFF	NA	LAC50	-5.3792094394
Roxithromycin	HFF	NA	LAC50	-5.2792094394
Clorsulon	HFF	NA	LAC50	-5.3292094394
Vicriviroc	HFF	NA	LAC50	NA
Atazanavir sulfate	HFF	NA	LAC50	-5.6292094394
Latrepirdine hydrochloride	HFF	NA	LAC50	NA
Canertinib	HFF	NA	LAC50	-5.3792094394
Meprednisone	HFF	NA	LAC50	-6.8792094394
Daporinad	HFF	NA	LAC50	-5.2792094394
Biperiden	HFF	NA	LAC50	-4.9792094394
Tolvaptan	HFF	NA	LAC50	NA
Cephradine	HFF	NA	LAC50	NA
Nystatin	HFF	NA	LAC50	NA
Minocycline	HFF	NA	LAC50	-5.5292094394
Tigecycline	HFF	NA	LAC50	-4.6292094394
Lubiprostone	HFF	NA	LAC50	-5.3792094394
Maraviroc	HFF	NA	LAC50	NA
Glycyrrhizic acid	HFF	NA	LAC50	NA
Ritonavir	HFF	NA	LAC50	-6.3792094394
Nilotinib	HFF	NA	LAC50	NA
Oxacillin sodium	HFF	NA	LAC50	-7.9292094394
Pentagastrin	HFF	NA	LAC50	NA
NCGC00183434-01	HFF	NA	LAC50	NA
Hypothemycin	HFF	NA	LAC50	-4.8292094394
VX-765	HFF	NA	LAC50	-7.6792094394
NCGC00183808-01	HFF	NA	LAC50	-4.7792094394
Monatepil	HFF	NA	LAC50	-4.8292094394
Sitafloxacin hydrate	HFF	NA	LAC50	-5.7792094394
Troxacitabine	HFF	NA	LAC50	-5.8292094394
